1,"[स]
स तुद्यमानस तु शरैर धनंजयः; पदा हतॊ नाग इव शवसन बली
बाणेन बाणेन महारथानां; चिच्छेद चापानि रणे परसह्य"
2,"संछिद्य चापानि च तानि राज्ञां; तेषां रणे वीर्यवतां कषणेन
विव्याध बाणैर युगपन महात्मा; निःशेषतां तेष्व अथ मन्यमानः"
3,"निपेतुर आजौ रुधिरप्रदिग्धास; ते ताडिताः शक्रसुतेन राजन
विभिन्नगात्राः पतितॊत्तमाङ्गा; गतासवश छिन्नतनुत्र कायाः"
4,"महीं गताः पार्थ बलाभिभूता; विचित्ररूपा युगपद विनेशुः
दृष्ट्वा हतांस तान युधि राजपुत्रांस; तरिगर्तराजः परययौ कषणेन"
5,"तेषां रथानाम अथ पृष्ठगॊपा; दवात्रिंशद अन्ये ऽबयपतन्त पार्थम
तथैव ते संपरिवार्य वार्थं; विकृष्य चापानि महारवाणि
अवीवृषन बाणमहौघवृष्ट्या; यथा गिरिं तॊयधरा जलौघैः"
6,"संपीड्य मानस तु शरौघवृष्ट्या; धनंजयस तान युधि जातरॊषः
षष्ट्या शरैः संयति तैलधौतैर; जघान तान अप्य अथ पृष्ठगॊपान"
7,"षष्टिं रथांस तान अवजित्य संख्ये; धनंजयः परीतमना यशस्वी
अथात्वरद भीष्म वधाय जिष्णुर; बलानि राज्ञां समरे निहत्य"
8,"तरिगर्तराजॊ निहतान समीक्ष्य; महारथांस तान अथ बन्धुवर्गान
रणे पुरस्कृत्य नराधिपांस ताञ; जगाम पार्थं तवरितॊ वधाय"
9,"अभिद्रुतं चास्त्रभृतां वरिष्ठं; धनंजयं वीक्ष्य शिखण्डिमुख्याः
अभ्युद्ययुस ते शितशस्त्रहस्ता; रिरक्षिषन्तॊ रथम अर्जुनस्य"
10,"पार्थॊ ऽपि तान आपततः समीक्ष्य; तरिगर्तराज्ञा सहितान नृवीरान
विध्वंसयित्वा समरे धनुष्मान; गाण्डीवमुक्तैर निशितैः पृषत्कैः
भीष्मं यियासुर युधि संददर्श; दुर्यॊधनं सैन्धवादींश च राज्ञः"
11,"आवारयिष्णून अभिसंप्रयाय; मुहूर्तम आयॊध्य बलेन वीरः
उत्सृज्य राजानम अनन्तवीर्यॊ; जयद्रथादींश च नृपान महौजाः
ययौ ततॊ भीमबलॊ मनस्वी; गाङ्गेयम आजौ शरचाप पाणिः"
12,"युधिष्ठिरश चॊग्रबलॊ महात्मा; समाययौ तवरितॊ जातकॊपः
मद्राधिपं समभित्यज्य संख्ये; सवभागम आप्तं तम अनन्त कीर्तिः
सार्धं स माद्री सुत भीमसेनैर; भीष्मं ययौ शांतनवं रणाय"
13,"तैः संप्रयुक्तः स महारथाग्र्यैर; गङ्गासुतः समरे चित्रयॊधी
न विव्यथे शांतनवॊ महात्मा; समागतैः पाण्डुसुतैः समस्तैः"
14,"अथैत्य राजा युधि सत्यसंधॊ; जयद्रथॊ ऽतयुग्र बलॊ मनस्वी
चिच्छेद चापानि महारथानां; परसह्य तेषां धनुषा वरेण"
15,"युधिष्ठिरं भीमसेनं यमौ च; पार्थं तथा युधि संजातकॊपः
दुर्यॊधनः करॊधविषॊ महात्मा; जघान बाणैर अनल परकाशैः"
16,"कृपेण शल्येन शलेन चैव; तथा विभॊ चित्रसेनेन चाजौ
विद्धाः शरैस ते ऽतिविवृद्धकॊपैर; देवा यथा दैत्य गणैः समेतैः"
17,"छिन्नायुधं शांतनवेन राजा; शिखण्डिनं परेक्ष्य च जातकॊपः
अजातशत्रुः समरे महात्मा; शिखण्डिनं करुद्ध उवाच वाक्यम"
18,"उक्त्वा तथा तवं पितुर अग्रतॊ माम; अहं हनिष्यामि महाव्रतं तम
भीष्मं शरौघैर विमलार्क वर्णैः; सत्यं वदामीति कृता परतिज्ञा"
19,"तवया न चैनां सफलां करॊषि; देवव्रतं यन न निहंसि युद्धे
