1,"[स]
तद देव नागासुरसिद्धसंघैर; गन्धर्वयक्षाप्सरसां च संघैः
बरह्मर्षिराजर्षिसुपर्णजुष्टं; बभौ वियद विस्मयनीय रूपम"
2,"नानद्यमानं निनदैर मनॊज्ञैर; वादित्रगीतस्तुतिभिश च नृत्तैः
सर्वे ऽनतरिक्षे ददृशुर मनुष्याः; खस्थांश च तान विस्मयनीय रूपान"
3,"ततः परहृष्टाः कुरु पाण्डुयॊधा; वादित्रपत्रायुध सिंहनादैः
निनादयन्तॊ वसुधां दिशश च; सवनेन सर्वे दविषतॊ निजघ्नुः"
4,"नानाश्वमातङ्गरथायुताकुलं; वरासि शक्त्यृष्टि निपातदुःसहम
अभीरुजुष्टं हतदेहसंकुलं; रणाजिरं लॊहितरक्तम आबभौ"
5,"तथा परवृत्ते ऽसत्रभृतां पराभवे; धनंजयश चाधिरथिश च सायकैः
दिशश च सैन्यं च शितैर अजिह्मगैः; परस्परं परॊर्णुवतुः सम दंशितौ"
6,"ततस तवदीयाश च परे च सायकैः; कृते ऽनधकारे विविदुर न किं चन
भयात तु ताव एव रथौ समाश्रयंस; तमॊनुदौ खे परसृता इवांशवः"
7,"ततॊ ऽसत्रम अस्त्रेण परस्परस्य तौ; विधूय वाताव इव पूर्वपश्चिमौ
घनान्धकारे वितते तमॊनुदौ; यथॊदितौ तद्वद अतीव रेजतुः"
8,"न चाभिमन्तव्यम इति परचॊदिताः; परे तवदीयाश च तदावतस्थिरे
महारथौ तौ परिवार्य सर्वतः; सुरासुरा वासव शम्बराव इव"
9,"मृदङ्गभेरीपणवानकस्वनैर; निनादिते भारत शङ्खनिस्वनैः
ससिंह नादौ बभतुर नरॊत्तमौ; शशाङ्कसूर्याव इव मेघसंप्लवे"
10,"महाधनुर मण्डला मध्यगाव उभौ; सुवर्चसौ बाणसहस्ररश्मिनौ
दिधक्षमाणौ सचराचरं जगद; युगास्त सूर्याव इव दुःसहौ रणे"
11,"उभाव अजेयाव अहितान्तकाव उभौ; जिघांसतुस तौ कृतिनौ परस्परम
महाहवे वीर वरौ समीयतुर; यथेन्द्र जम्भाव इव कर्ण पाण्डवौ"
12,"ततॊ महास्त्राणि महाधनुर्धरौ; विमुञ्चमानाव इषुभिर भयानकैः
नराश्वनागानमितौ निजघ्नतुः; परस्परं जघ्नतुर उत्तमेषुभिः"
13,"ततॊ विसस्रुः पुनर अर्दिताः शरैर; नरॊत्तमाभ्यां कुरुपाण्डवाश्रयाः
सनागपत्त्यश्वरथा दिशॊ गतास; तथा यथा सिंहभयाद वनौकसः"
14,"ततस तु दुर्यॊधन भॊजसौबलाः; कृपश च शारद्वत सूनुना सह
महारथाः पञ्च धनंजयाच्युतौ; शरैः शरीरान्तकरैर अताडयन"
15,"धनूंषि तेषाम इषुधीन हयान धवजान; रथांश च सूतांश च धनंजयः शरैः
समं च चिच्छेद पराभिनच च ताञ; शरॊत्तमैर दवादशभिश च सूतजम"
16,"अथाभ्यधावंस तवरिताः शतं रथाः; शतं च नागार्जुनम आततायिनः
शकास तुखारा यवनाश च सादिनः; सहैव काम्बॊजवरैर जिघांसवः"
17,"वरायुधान पाणिगतान करैः सह; कषुरैर नयकृन्तंस तवरिताः शिरांसि च
हयांश च नागांश च रथांश च युध्यतां; धनंजयः शत्रुगणं तम अक्षिणॊत"
18,"ततॊ ऽनतरिक्षे सुरतूर्य निस्वनाः; ससाधु वादा हृषितैः समीरिताः
निपेतुर अप्य उत्तमपुष्पपृष्टयः; सुरूप गन्धाः पवनेरिताः शिवाः"
19,"तद अद्भुतं देवमनुष्यसाक्षिकं; समीक्ष्य भूतानि विसिष्मियुर नृप
तवात्मजः सूत सूतश च न वयथां; न विस्मयं जग्मतुर एकनिश्चयौ"
20,"अथाब्रवीद दरॊणसुतस तवात्मजं; करं करेण परतिपीड्य सान्त्वयन
परसीद दुर्यॊधन शाम्य पाण्डवैर; अलं विरॊधेन धिग अस्तु विग्रहम"
21,"हतॊ गुरुर बरह्म समॊ महास्त्रवित; तथैव भीष्म परमुखा नरर्षभाः
अहं तव अवध्यॊ मम चापि मातुलः; परशाधि राज्यं साह पाण्डवैर चिरम"
22,"धनंजयः सथास्यति वारितॊ मया; जनार्दनॊ नैव विरॊधम इच्छति
युधिष्ठिरॊ भूतहिते सदा रतॊ; वृकॊदरस तद्वशगस तथा यमौ"
23,"तवया च पार्थैश च परस्परेण; परजाः शिवं पराप्नुयुर इच्छति तवयि
वरजन्तु शेषाः सवपुराणि पार्थिवा; निवृत्तवैराश च भवन्तु सैनिकाः"
24,"न चेद वचः शरॊष्यसि मे नराधिप; धरुवं परतप्तासि हतॊ ऽरिभिर युधि
इदं च दृष्टं जगता सह तवया; कृतं यद एकेन किरीटिमालिना
यथा न कुर्याद बलभिन्न चान्तकॊ; न च परचेता भगवान न यक्षराट"
25,"अतॊ ऽपि भूयांश च गुणैर धनंजयः; स चाभिपत्स्यत्य अखिलं वचॊ मम
तवानुयात्रां च तथा करिष्यति; परसीद राजञ जगतः शमाय वै"
26,"ममापि मानः परमः सदा तवयि; बरवीम्य अतस तवां परमाच च सौहृदात
निवारयिष्यामि हि कर्णम अप्य अहं; यदा भवान सप्रणयॊ भविष्यति"
27,"वदन्ति मित्रं सहजं विचक्षणास; तथैव साम्ना च धनेन चार्जितम
परतापतश चॊपनतं चतुर्विधं; तद अस्ति सर्वं तवयि पाण्डवेषु च"
28,"निसर्गतस ते तव वीर बान्धवाः; पुनश च साम्ना च समाप्नुहि सथिरम
तवयि परसन्ने यदि मित्रताम इयुर; धरुवं नरेन्द्रेन्द्र तथा तवम आचर"
29,"स एवम उक्तः सुहृदा वचॊ हितं; विचिन्त्य निःश्वस्य च दुर्मनाब्रवीत
यथा भवान आह सखे तथैव तन; ममापि च जञापयतॊ वचः शृणु"
30,"निहत्य दुःशासनम उक्तवान बहु; परसह्य शार्दूलवद एष दुर्मतिः
वृकॊदरस तद धृदये मम सथितं; न तत्परॊक्षं भवतः कुतः शमः"
31,"न चापि कर्णं गुरुपुत्र संस्तवाद; उपारमेत्य अर्हसि वक्तुम अच्युत
शरमेण युक्तॊ महताद्य फल्गुनस; तम एष कर्णः परसाभं हनिष्यति"
32,"तम एवम उक्त्वाभ्यनुनीय चासकृत; तवात्मजः सवान अनुशास्ति सैनिकान
समाघ्नताभिद्रवताहितान इमान; सबाणशब्दान किम उ जॊषम आस्यते"
