1,"[वै]
धृष्टद्युम्नस तु पाञ्चाल्यः पृष्ठतः कुरुनन्दनौ
अन्वगच्छत तदा यान्तौ भार्गवस्य निवेशनम"
2,"सॊ ऽजञायमानः पुरुषान अवधाय समन्ततः
सवयम आरान निविष्टॊ ऽभूद भार्गवस्य निवेशने"
3,"साये ऽथ भीमस तु रिपुप्रमाथी; जिष्णुर यमौ चापि महानुभावौ
भैक्षं चरित्वा तु युधिष्ठिराय; निवेदयां चक्रुर अदीनसत्त्वाः"
4,"ततस तु कुन्ती दरुपदात्मजां; ताम उवाच काले वचनं वदान्या
अतॊ ऽगरम आदाय कुरुष्व भद्रे; बलिं च विप्राय च देहि भिक्षाम"
5,"ये चान्नम इच्छन्ति ददस्व तेभ्यः; परिश्रिता ये परितॊ मनुष्याः
ततश च शेषं परविभज्य शीघ्रम; अर्धं चतुर्णां मम चात्मनश च"
6,"अर्धं च भीमाय ददाहि भद्रे; य एष मत्तर्षभ तुल्यरूपः
शयामॊ युवा संहननॊपपन्न; एषॊ हि वीरॊ बहुभुक सदैव"
7,"सा हृष्टरूपैव तु राजपुत्री; तस्या वचः साध्व अविशङ्कमाना
यथावद उक्तं परचकार साध्वी; ते चापि सर्वे ऽभयवजह्रुर अन्नम"
8,"कुशैस तु भूमौ शयनं चकार; माद्री सुतः सहदेवस तरस्वी
यथात्मीयान्य अजिनानि सर्वे; संस्तीर्य वीराः सुषुपुर धरण्याम"
9,"अगस्त्यशास्ताम अभितॊ दिशं तु; शिरांसि तेषां कुरुसत्तमानाम
कुन्ती पुरस्तात तु बभूव तेषां; कृष्णा तिरश चैव बभूव पत्तः"
10,"अशेत भूमौ सह पाण्डुपुत्रैः; पादॊपधानेव कृता कुशेषु
न तत्र दुःखं च बभूव तस्या; न चावमेने कुरुपुंगवांस तान"
11,"ते तत्र शूराः कथयां बभूवुः; कथा विचित्राः पृतनाधिकाराः
अस्त्राणि दिव्यानि रथांश च नागान; खड्गान गदाश चापि परश्वधांश च"
12,"तेषां कथास ताः परिकीर्त्यमानाः; पाञ्चालराजस्य सुतस तदानीम
शुश्राव कृष्णां च तथा निषण्णां; ते चापि सर्वे ददृशुर मनुष्याः"
13,"धृष्टद्युम्नॊ राजपुत्रस तु सर्वं; वृत्तं तेषां कथितं चैव रात्रौ
सर्वं राज्ञे दरुपदायाखिलेन; निवेदयिष्यंस तवरितॊ जगाम"
14,"पाञ्चालराजस तु विषण्णरूपस; तान पाण्डवान अप्रतिविन्दमानः
धृष्टद्युम्नं पर्यपृच्छन महात्मा; कव सा गता केन नीता च कृष्णा"
15,"कच चिन न शूद्रेण न हीनजेन; वैश्येन वा करदेनॊपपन्ना
कच चित पदं मूर्ध्नि न मे निदिग्धं; कच चिन माला पतिता न शमशाने"
16,"कच चित सवर्ण परवरॊ मनुष्य; उद्रिक्त वर्कॊ ऽपय उत वेह कच चित
कच चिन न वामॊ मम मूर्ध्नि पादः; कृष्णाभिमर्शेन कृतॊ ऽदय पुत्र"
17,"कच चिच च यक्ष्ये परमप्रप्रीतः; संयुज्य पार्थेन नरर्षभेण
बरवीहि तत्त्वेन महानुभावः; कॊ ऽसौ विजेता दुहितुर ममाद्य"
18,"विचित्रवीर्यस्य तु कच चिद अद्य; कुरुप्रवीरस्य धरन्ति पुत्राः
कच चित तु पार्थेन यवीयसाद्य; धनुर गृहीतं निहतं च लक्ष्यम"
