Book No,Chapter No,Paragraph No,Paragraph Text
8,1,1,"[व]
ततॊ दरॊणे हते राजन दुर्यॊधनमुखा नृपाः
भृशम उद्विग्नमनसॊ दरॊणपुत्रम उपागमन"
8,1,2,"ते दरॊणम उपशॊचन्तः कश्मलाभिहतौजसः
पर्युपासन्त शॊकार्तास ततः शारद्वती सुतम"
8,1,3,"मुहूर्तं ते समाश्वास्य हेतुभिः शास्त्रसंमितैः
रात्र्यागमे महीपालाः सवानि वेश्मानि भेजिरे"
8,1,4,"विशेषतः सूतपुत्रॊ राजा चैव सुयॊधनः
दुःशासनॊ ऽथ शकुनिर न निद्राम उपलेभिरे"
8,1,5,"ते वेश्मस्व अपि कौरव्य पृथ्वीशा नाप्नुवन सुखम
चिन्तयन्तः कषयं तीव्रं निद्रां नैवॊपलेभिरे"
8,1,6,"सहितास ते निशायां तु दुर्यॊधन निवेशने
अतिप्रचण्डाद विद्वेषात पाण्डवानां महात्मनाम"
8,1,7,"यत तद दयूतपरिक्लिष्टां कृष्णाम आनिन्यिरे सभाम
तत समरन्तॊ ऽनवतप्यन्त भृशम उद्विग्नचेतसः"
8,1,8,"चिन्तयन्तश च पार्थानां तान कलेशान दयूतकारितान
कृच्छ्रेण कषणदां राजन निन्युर अब्द शतॊपमाम"
8,1,9,"ततः परभाते विमले सथिता दिष्टस्य शासने
चक्रुर आवश्यकं सर्वे विधिदृष्टेन कर्मणा"
8,1,10,"ते कृत्वावश्य कार्याणि समाश्वस्य च भारत
यॊगम आज्ञापयाम आसुर युद्धाय च विनिर्ययुः"
8,1,11,"कर्णं सेनापतिं कृत्वा कृतकौतुक मङ्गलाः
वाचयित्वा दविजश्रेष्ठान दधि पात्रघृताक्षतैः"
8,1,12,"निष्कैर गॊभिर हिरण्येन वासॊभिश च महाधनैः
वर्ध्यमाना जयाशीर्भिः सूतमागधबन्दिभिः"
8,1,13,"तथैव पाण्डवा राजन कृतसर्वाह्णिक करियाः
शिबिरान निर्ययू राजन युद्धाय कृतनिश्चयाः"
8,1,14,"ततः परववृते युद्धं तुमुलं रॊमहर्षणम
कुरूणां पाण्डवानां च परस्परवधैषिणाम"
8,1,15,"तयॊर दवे दिवसे युद्धं कुरुपाण्डवसेनयॊः
कर्णे सेनापतौ राजन्न अभूद अद्भुतदर्शनम"
8,1,16,"ततः शत्रुक्षयं कृत्वा सुमहान्तं रणे वृषः
पश्यतां धार्तराष्ट्राणां फल्गुनेन निपातितः"
8,1,17,"ततस तत संजयः सर्वं गत्वा नागाह्वयं पुरम
आचख्यौ धृतराष्ट्राय यद्वृत्तं कुरुजाङ्गले"
8,1,18,"[ज]
आपगेयं हतं शरुत्वा दरॊणं च समरे परैः
यॊ जगाम पराम आर्तिं वृद्धॊ राजाम्बिका सुतः"
8,1,19,"स शरुत्वा निहतं कर्णं दुर्यॊधनहितैषिणम
कथं दविज वरप्राणान अधारयत दुःखितः"
8,1,20,"यस्मिञ जयाशां पुत्राणाम अमन्यत स पार्थिवः
तस्मिन हते स कौरव्यः कथं पराणान अधारयत"
8,1,21,"दुर्मरं बत मन्ये ऽहं नृषां कृच्छ्रे ऽपि वर्तताम
यत्र कर्णं हतं शरुत्वा नात्यजज जीवितं नृपः"
8,1,22,"तथा शांतनवं वृद्धं बरह्मन बाह्लिकम एव च
दरॊणं च सॊमदत्तं च भूरिश्रवसम एव च"
8,1,23,"तथैव चान्यान सुहृदः पुत्रपौत्रांश च पातितान
शरुत्वा यन नाजहात पराणांस तन मन्ये दुष्करं दविज"
8,1,24,"एतन मे सर्वम आचक्ष्व विस्तरेण तपॊधन
न हि तृप्यामि पूर्वेषां शृण्वानश चरितं महत"
8,1,25,"[व]
हते कर्णे महाराज निशि गावल्गणिस तदा
दीनॊ ययौ नागपुरम अश्वैर वातसमैर जवे"
8,1,26,"स हास्तिनपुरं गत्वा भृशम उद्विग्नमानसः
जगाम धृतराष्ट्रस्य कषयं परक्षीणबान्धवम"
8,1,27,"स समुद्वीक्ष्य राजानं कश्मलाभिहतौजसम
ववन्दे पराञ्जलिर भूत्वा मूर्ध्ना पादौ नृपस्य ह"
8,1,28,"संपूज्य च यथान्यायं धृतराष्ट्रं महीपतिम
हा कष्टम इति चॊक्त्वा स ततॊ वचनम आददे"
8,1,29,"संजयॊ ऽहं कषितिपते कच चिद आस्ते सुखं भवान
सवदॊषेणापदं पराप्य कच चिन नाद्य विमुह्यसि"
8,1,30,"हितान्य उक्तानि विदुर दरॊण गाङ्गेय केशवैः
अगृहीतान्य अनुस्मृत्य कच चिन न कुरुषे वयथाम"
