Book No,Chapter No,Paragraph No,Paragraph Text
4,1,1,"[ज]
कथं विराटनगरे मम पूर्वपितामहाः
अज्ञातवासम उषिता दुर्यॊधन भयार्दिताः"
4,1,2,"तथा तु स वराँल लब्ध्वा धर्माधर्मभृतां वरः
गत्वाश्रमं बराह्मणेभ्य आचख्यौ सर्वम एव तत"
4,1,3,"कथयित्वा तु तत सर्वं बराह्मणेभ्यॊ युधिष्ठिरः
अरणी सहितं तस्मै बराह्मणाय नयवेदयत"
4,1,4,"ततॊ युधिष्ठिरॊ राजा धर्मपुत्रॊ महामनाः
संनिवर्त्यानुजान सर्वान इति हॊवाच भारत"
4,1,5,"दवादशेमानि वर्षाणि राष्ट्राद विप्रॊषिता वयम
तरयॊदशॊ ऽयं संप्राप्तः कृच्छ्रः परमदुर्वसः"
4,1,6,"स साधु कौन्तेय इतॊ वासम अर्जुन रॊचय
यत्रेमा वसतीः सर्वा वसेमाविदिताः परैः"
4,1,7,"तस्यैव वरदानेन धर्मस्य मनुजाधिप
अज्ञाता विचरिष्यामॊ नराणा भरतर्षभ"
4,1,8,"किं तु वासाय राष्ट्राणि कीर्तयिष्यामि कानि चित
रमणीयानि गुप्तानि तेषां किं चित सम रॊचय"
4,1,9,"सन्ति रम्या जनपदा बह्व अन्नाः परितः कुरून
पाञ्चालाश चेदिमत्स्याश च शूरसेनाः पटच्चराः
दशार्णा नव राष्ट्रं च मल्लाः शाल्व युगंधराः"
4,1,10,"एतेषां कतमॊ राजन निवासस तव रॊचते
वत्स्यामॊ यत्र राजेन्द्र संवत्सरम इमं वयम"
4,1,11,"एवम एतन महाबाहॊ यथा स भगवान परभुः
अब्रवीत सर्वभूतेशस तत तथा न तद अन्यथा"
4,1,12,"अवश्यं तव एव वासार्थं रमणीयं शिवं सुखम
संमन्त्र्य सहितैः सर्वैर दरष्टव्यम अकुतॊभयम"
4,1,13,"मत्स्यॊ विराटॊ बलवान अभिरक्षेत स पाण्डवान
धर्मशीलॊ वदान्यश च वृद्धश च सुमहाधनः"
4,1,14,"विराटनगरे तात संवत्सरम इमं वयम
कुर्वन्तस तस्य कर्माणि विहरिष्याम भारत"
4,1,15,"यानि यानि च कर्माणि तस्य शक्ष्यामहे वयम
कर्तुं यॊ यत स तत कर्म बरवीतु कुरुनन्दनाः"
4,1,16,"नरदेव कथं कर्म राष्ट्रे तस्य करिष्यसि
विराट नृपतेः साधॊ रंस्यसे केन कर्मणा"
4,1,17,"मृदुर वदान्यॊ हरीमांश च धार्मिकः सत्यविक्रमः
राजंस तवम आपदा कलिष्टः किं करिष्यसि पाण्डव"
4,1,18,"न दुःखम उचितं किं चिद राजन वेद यथा जनः
स इमाम आपदं पराप्य कथं घॊरां तरिष्यसि"
4,1,19,"शृणुध्वं यत करिष्यामि कर्म वै कुरुनन्दनाः
विराटम अनुसंप्राप्य राजानं पुरुषर्षभम"
4,1,20,"सभास्तारॊ भविष्यामि तस्य राज्ञॊ महात्मनः
कङ्कॊ नाम दविजॊ भूत्वा मताक्षः परिय देविता"
4,1,21,"वैडूर्यान काञ्चनान दान्तान फलैर जयॊती रसैः सह
कृष्णाक्षाँल लॊहिताक्षांश च निर्वर्त्स्यामि मनॊरमान"
4,1,22,"आसं युधिष्ठिरस्याहं पुरा पराणसमः सखा
इति वक्ष्यामि राजानं यदि माम अनुयॊक्ष्यते"
4,1,23,"इत्य एतद वॊ मयाख्यातं विहरिष्याम्य अहं यथा
वृकॊदर विराटे तवं रंस्यसे केन कर्मणा"
4,2,1,"[भम]
पौरॊगवॊ बरुवाणॊ ऽहं बल्लवॊ नाम नामतः
उपस्थास्यामि राजानं विराटम इति मे मतिः"
4,2,2,"सूपानस्य करिष्यामि कुशलॊ ऽसमि महानसे
कृतपूर्वाणि यैर अस्य वयञ्जनानि सुशिक्षितैः
तान अप्य अभिभविष्यामि परीतिं संजनयन्न अहम"
4,2,3,"आहरिष्यामि दारूणां निचयान महतॊ ऽपि च
तत परेक्ष्य विपुलं कर्म राजा परीतॊ भविष्यति"
4,2,4,"दविपा वा बलिनॊ राजन वृषभा वा महाबलाः
विनिग्राह्या यदि मया निग्रहीष्यामि तान अपि"
4,2,5,"ये च के चिन नियॊत्स्यन्ति समाजेषु नियॊधकाः
तान अहं निहनिष्यामि परीतिं तस्य विवर्धयन"
4,2,6,"न तव एतान युध्यमानां वै हनिष्यामि कथं चन
तथैतान पातयिष्यामि यथा यास्यन्ति न कषयम"
4,2,7,"आरालिकॊ गॊविकर्ता सूपकर्ता नियॊधकः
आसं युधिष्ठिरस्याहम इति वक्ष्यामि पृच्छतः"
4,2,8,"आत्मानम आत्मना रक्षंश चरिष्यामि विशां पते
इत्य एतत परतिजानामि विहरिष्याम्य अहं यथा"
4,2,9,"यम अग्निर बराह्मणॊ भूत्वा समागच्छन नृणां वरम
दिधक्षुः खाण्डवं दावं दाशार्ह सहितं पुरा"
4,2,10,"महाबलं महाबाहुम अजितं कुरुनन्दनम
सॊ ऽयं किं कर्म कौन्तेयः करिष्यति धनंजयः"
4,2,11,"यॊ ऽयम आसाद्य तं तावं तर्पयाम आस पावकम
विजित्यैक रथेनेन्द्रं हत्वा पन्नगरक्षसान
शरेष्ठः परतियुधां नाम सॊ ऽरजुनः किं करिष्यति"
4,2,12,"सूर्यः परपततां शरेष्ठॊ दविपदां बराह्मणॊ वरः
आशीविषश च सर्पाणाम अग्निस तेजस्विनां वरः"
