Book No,Chapter No,Paragraph No,Paragraph Text
13,1,1,"[य]
शमॊ बहुविधाकारः सूक्ष्म उक्तः पितामह
न च मे हृदये शान्तिर अस्ति कृत्वेदम ईदृशम"
13,1,2,"अस्मिन अर्थे बहुविधा शान्तिर उक्ता तवयानघ
सवकृते का नु शान्तिः सयाच छमाद बहुविधाद अपि"
13,1,3,"शराचित शरीरं हि तीव्रव्रणम उदीक्ष्य च
शमं नॊपलभे वीर दुष्कृतान्य एव चिन्तयन"
13,1,4,"रुधिरेणावसिक्ताङ्गं परस्रवन्तं यथाचलम
तवां दृष्ट्वा पुरुषव्याघ्र सीदे वर्षास्व इवाम्बुजम"
13,1,5,"अतः कष्टतरं किं नु मत्कृते यत पितामहः
इमाम अवस्थां गमितः परत्यमित्रै रणाजिरे
तथैवान्ये नृपतयः सह पुत्राः स बान्धवाः"
13,1,6,"वयं हि धार्तराष्ट्राश च कालमन्युवशानुगाः
कृत्वेदं निन्दितं कर्म पराप्स्यामः कां गतिं नृप"
13,1,7,"अहं तव हय अन्तकरः सुहृद वधकरस तथा
न शान्तिम अधिगच्छामि पश्यंस तवां दुःखितं कषितौ"
13,1,8,"[ब]
परतन्त्रं कथं हेतुम आत्मानम अनुपश्यसि
कर्मण्य अस्मिन महाभाग सूक्ष्मं हय एतद अतीन्द्रियम"
13,1,9,"अत्राप्य उदाहरन्तीमम इतिहासं पुरातनम
संवादं मृत्युगौतम्यॊः काललुब्धक पन्नगैः"
13,1,10,"गौतमी नाम कौन्तेय सथविरा शम संयुता
सर्पेण दष्टं सवं पुत्रम अपश्यद गतचेतनम"
13,1,11,"अथ तं सनायु पाशेन बद्ध्वा सर्पम अमर्षितः
लुब्धकॊ ऽरजुनकॊ नाम गौतम्याः समुपानयत"
13,1,12,"तां चाब्रवीद अयं ते सपुत्रहा पन्नगाधमः
बरूहि कषिप्रं महाभागे वध्यतां केन हेतुना"
13,1,13,"अग्नौ परक्षिप्यताम एष चछिद्यतां खण्डशॊ ऽपि वा
न हय अयं बालहा पापश चिरं जीवितुम अर्हति"
13,1,14,"[गौतमी]
विसृजैनम अबुद्धिस तवं न वध्यॊ ऽरजुनक तवया
कॊ हय आत्मानं गुरुं कुर्यात पराप्तव्ये सति चिन्तयन"
13,1,15,"पलवन्ते धर्मलघवॊ लॊके ऽमभसि यथा परलाः
मज्जन्ति पापगुरवः शस्त्रं सकन्नम इवॊदके"
13,1,16,"न चामृत्युर भविता वै हते ऽसमिन; कॊ वात्ययः सयाद अहते ऽसमिञ जनस्य
अस्यॊत्सर्गे पराणयुक्तस्य जन्तॊर; मृत्यॊर लॊकं कॊ नु गच्छेद अनन्तम"
13,1,17,"[लुब्धक]
जानाम्य एवं नेह गुणाणुन जञाः; सर्वे नियुक्ता गुरवॊ वै भवन्ति
सवस्थस्यैते तूपदेशा भवन्ति; तस्मात कषुद्रं सर्पम एनं हनिष्ये"
13,1,18,"समीप्सन्तः कालयॊगं तयजन्ति; सद्यः शुचं तव अर्थविदस तयजन्ति
शरेयः कषयः शॊचतां नित्यशॊ हि; तस्मात तयाज्यं जहि शॊकं हते ऽसमिन"
13,1,19,"[ग]
न चैवार्तिर विद्यते ऽसमद्विधानां; धर्मारामः सततं सज्जनॊ हि
नित्यायस्तॊ बाल जनॊ न चास्ति; धर्मॊ हय एष परभवाम्य अस्य नाहम"
13,1,20,"न बराह्मणानां कॊपॊ ऽसति कुतः कॊपाच च यातना
मार्दवात कषम्यतां साधॊ मुच्यताम एष पन्नगः"
13,1,21,"[ल]
हत्वा लाभः शरेय एवाव्ययं सयात; सद्यॊ लाभॊ बलवद्भिः परशस्तः
कालाल लाभॊ यस तु सद्यॊ भवेत; हते शरेयः कुत्सिते तवेदृशे सयात"
13,1,22,"[ग]
कार्थ पराप्तिर गृह्य शत्रुं निहत्य; का वा शान्तिः पराप्य शत्रुं नम उक्त्वा
कस्मात सौम्य भुजगे न कषमेयं; मॊक्षं वा किं कारणं नास्य कुर्याम"
13,1,23,"[ल]
अस्माद एकस्माद बहवॊ रक्षितव्या; नैकॊ बहुभ्यॊ गौतमि रक्षितव्यः
कृतागसं धर्मविदस तयजन्ति; सरीसृपं पापम इमं जहि तवम"
13,1,24,"[ज]
नास्मिन हते पन्नगे पुत्रकॊ मे; संप्राप्स्यते लुब्धक जीवितं वै
गुणं चान्यं नास्य वधे परपश्ये; तस्मात सर्पं लुब्धक मुञ्च जीवम"
13,1,25,"[ल]
वृत्रं हत्वा देवराट शरेष्ठ भाग्भाग वै; यज्ञं हत्वा भागम अवाप चैव
शूली देवॊ देव वृत्तं कुरु तवं; कषिप्रं सर्पं जहि मा भूद विशङ्का"
13,1,26,"[भ]
असकृत परॊच्यमानापि गौतमी भुजगं परति
लुब्धकेन महाभागा पापे नैवाकरॊन मतिम"
13,1,27,"ईषद उच्छ्वसमानस तु कृच्छ्रात संस्तभ्य पन्नगः
उत्ससर्ज गिरं मन्दां मानुषीं पाशपीडितः"
13,1,28,"कॊ नव अर्जुनक दॊषॊ ऽतर विद्यते मम बालिश
अस्वतन्त्रं हि मां मृत्युर विवशं यद अचूचुदत"
13,1,29,"तस्यायं वचनाद दष्टॊ न कॊपेन न काम्यया
तस्य तक किल्बिषं लुब्ध विद्यते यदि किल्बिषम"
13,1,30,"[ल]
यद्य अन्यवशगेनेदं कृतं ते पन्नगाशुभम
कारणं वै तवम अप्य अत्र तस्मात तवम अपि किल्बिषी"
13,1,31,"मृत पात्रस्य करियायां हि दण्डचक्रादयॊ यथा
कारणत्वे परकल्प्यन्ते तथा तवम अपि पन्नग"
13,1,32,"किल्बिषी चापि मे वध्यः किल्बिषी चासि पन्नग
आत्मानं कारणं हय अत्र तवम आख्यासि भुजंगम"
13,1,33,"[सर्प]
सर्व एते हय अस्ववशा दण्डचक्रादयॊ यथा
तथाहम अपि तस्मान मे नैष हेतुर मतस तव"
13,1,34,"अथ वा मतम एतत ते ते ऽपय अन्यॊन्यप्रयॊजकाः
कार्यकारण संदेहॊ भवत्य अन्यॊन्यचॊदनात"
13,1,35,"एवं सति न दॊषॊ मे नास्मि वध्यॊ न किल्बिषी
किल्बिषं समवाये सयान मन्यसे यदि किल्बिषम"
13,1,36,"[ल]
कारणं यदि न सयाद वै न कर्ता सयास तवम अप्य उत
विनाशे कारणं तवं च तस्माद वध्यॊ ऽसि मे मतः"
13,1,37,"असत्य अपि कृते कार्ये नेह पन्नगलिप्यते
तस्मान नात्रैव हेतुः सयाद वध्यः किं बहु भाषसे"
13,1,38,"[सर्प]
कार्याभावे करिया न सयात सत्य असत्य अपि कारणे
तस्मात तवम अस्मिन हेतौ मे वाच्यॊ हेतुर विशेषतः"
13,1,39,"यद्य अहं कारणत्वेन मतॊ लुब्धक तत्त्वतः
अन्यः परयॊगे सयाद अत्र किल्बिषी जन्तु नाशने"
13,1,40,"[ल]
वध्यस तवं मम दुर्बुद्धे बाल घाती नृशंसकृत
भाषसे किं बहु पुनर वध्यः सन पन्नगाधम"
13,1,41,"[सर्प]
यथा हवींषि जुह्वाना मखे वै लुब्धकर्त्विजः
न फलं पराप्नुवन्त्य अत्र परलॊके तथा हय अहम"
13,1,42,"[भ]
तथा बरुवति तस्मिंस तु पन्नगे मृत्युचॊदिते
आजगाम ततॊ मृत्युः पन्नगं चाब्रवीद इदम"
13,1,43,"कालेनाहं परणुदितः पन्नगत्वाम अचूचुदम
विनाशहेतुर नास्य तवम अहं वा पराणिनः शिशॊः"
13,1,44,"यथा वायुर जलधरान विकर्षति ततस ततः
तद्वज जलदवत सर्पकालस्याहं वशानुगः"
13,1,45,"सात्त्विका राजसाश चैव तामसा ये च के चन
भावाः कालात्मकाः सर्वे परवर्तन्ते हि जन्तुषु"
13,1,46,"जङ्गमाः सथावराश चैव दिवि वा यदि वा भुवि
सर्वे कालात्मकाः सर्पकालात्मकम इदं जगत"
13,1,47,"परवृत्तयश च या लॊके तथैव च निवृत्तयः
तासां विकृतयॊ याश च सर्वं कालात्मकं समृतम"
13,1,48,"आदित्यश चन्द्रमा विष्णुर आपॊ वायुः शतक्रतुः
अग्निः खं पृथिवी मित्र ओषध्यॊ वसवस तथा"
13,1,49,"सरितः सगराश चैव भावाभावौ च पन्नग
सर्वे कालेन सृज्यन्ते हरियन्ते च तथा पुनः"
13,1,50,"एवं जञात्वा कथं मां तवं स दॊषं सर्पमन्यसे
अथ चैवं गते दॊषॊ मयि तवम अपि दॊषवान"
13,1,51,"[सर्प]
निर्दॊषं दॊषवन्तं वा न तवा मृत्यॊर बरवीम्य अहम
तवयाहं चॊदित इति बरवीम्य एतावद एव तु"
13,1,52,"यदि काले तु दॊषॊ ऽसति यदि तत्रापि नेष्यते
दॊषॊ नैव परीक्ष्यॊ मे न हय अत्राधिकृता वयम"
13,1,53,"निर्मॊक्षस तव अस्य दॊषस्य मया कार्यॊ यथातथा
मृत्यॊ विदॊषः सयाम एव यथा तन मे परयॊजनम"
13,1,54,"[भ]
सर्पॊ ऽथार्जुनकं पराह शरुतं ते मृत्युभाषितम
नानागसं मां पाशेन संतापयितुम अर्हसि"
13,1,55,"[ल]
मृत्यॊः शरुतं मे वचनं तव चैव भुजंगम
नैव तावद विदॊषत्वं भवति तवयि पन्नग"
13,1,56,"मृत्युस तवं चैव हेतुर हि जन्तॊर अस्य विनाशने
उभयं कारणं मन्ये न कारणम अकारणम"
13,1,57,"धिन मृत्युं च दुरात्मानं करूरं दुःखकरं सताम
सवां चैवाहं वधिष्यामि पापं पापस्य कारणम"
13,1,58,"[मृत्यु]
विवशौ कालवशगाव आवां तद दिष्ट कारिणौ
नावां दॊषेण गन्तव्यौ यदि सम्यक परपश्यसि"
13,1,59,"[ल]
युवाम उभौ कालवशौ यदि वै मृत्युपन्नगौ
हर्षक्रॊधौ कथं सयाताम एतद इच्छामि वेदितुम"
13,1,60,"[मृत्यु]
याः काश चिद इह चेष्टाः सयुः सर्वाः कालप्रचॊदिताः
पूर्वम एवैतद उक्तं हि मया लुब्धक कालतः"
13,1,61,"तस्माद उभौ कालवशाव आवां तद दिष्ट कारिणौ
नावां दॊषेण गन्तव्यौ तवया लुब्धक कर्हि चित"
13,1,62,"[भ]
अथॊपगम्य कालस तु तस्मिन धर्मार्थसंशये
अब्रवीत पन्नगं मृत्युं लुब्धम अर्जुनकं च तम"
13,1,63,"[काल]
नैवाहं नाप्य अयं मृत्युर नायं लुब्धक पन्नगः
किल्बिषी जन्तु मरणे न वयं हि परयॊजकाः"
13,1,64,"अकरॊद यद अयं कर्म तन नॊ ऽरजुनक चॊदकम
परणाश हेतुर नान्यॊ ऽसय वध्यते ऽयं सवकर्मणा"
