Book No,Chapter No,Paragraph No,Paragraph Text
17,1,1,"[ज]
एवं वृष्ण्यन्धककुले शरुत्वा मौसलम आहवम
पाण्डवाः किम अकुर्वन्त तथा कृष्णे दिवं गते"
17,1,2,"[वै]
शरुत्वैव कौरवॊ राजा वृष्णीनां कदनं महत
परस्थाने मतिम आधाय वाक्यम अर्जुनम अब्रवीत"
17,1,3,"कालः पचति भूतानि सर्वाण्य एव महामते
कर्म नयासम अहं मन्ये तवम अपि दरष्टुम अर्हसि"
17,1,4,"इत्य उक्तः स तु कौन्तेयः कालः काल इति बरुवन
अन्वपद्यत तद वाक्यं भरातुर जयेष्ठस्य वीर्यवान"
17,1,5,"अर्जुनस्य मतं जञात्वा भीमसेनॊ यमौ तथा
अन्वपद्यन्त तद वाक्यं यद उक्तं सव्यसाचिना"
17,1,6,"ततॊ युयुत्सुम आनाय्य परव्रजन धर्मकाम्यया
राज्यं परिददौ सर्वं वैश्य पुत्रे युधिष्ठिरः"
17,1,7,"अभिषिच्य सवराज्ये तु तं राजानं परिक्षितम
दुःखार्तश चाब्रवीद राजा सुभद्रां पाण्डवाग्रजः"
17,1,8,"एष पुत्रस्य ते पुत्रः कुरुराजॊ भविष्यति
यदूनां परिशेषश च वज्रॊ राजा कृतश च ह"
17,1,9,"परिक्षिद धास्तिन पुरे शक्र परस्थे तु यादवः
वज्रॊ राजा तवया रक्ष्यॊ मा चाधर्मे मनः कृथाः"
17,1,10,"इत्य उक्त्वा धर्मराजः स वासुदेवस्य धीमतः
मातुलस्य च वृद्धस्य रामादीनां तथैव च"
17,1,11,"मातृभिः सहधर्मात्मा कृत्वॊदकम अतन्द्रितः
शराद्धान्य उद्दिश्य सर्वेषां चकार विधिवत तदा"
17,1,12,"ददौ रत्नानि वासांसि गरामान अश्वान रथान अपि
सत्रियश च दविजमुख्येभ्यॊ गवां शतसहस्रशः"
17,1,13,"कृपम अभ्यर्च्य च गुरुम अर्थमानपुरस्कृतम
शिष्यं परिक्षितं तस्मै ददौ भरतसत्तमः"
17,1,14,"ततस तु परकृतीः सर्वाः समानाय्य युधिष्ठिरः
सर्वम आचष्ट राजर्षिश चिकीर्षतम अथात्मनः"
17,1,15,"ते शरुत्वैव वचस तस्य पौरजानपदा जनाः
भृशम उद्विग्नमनसॊ नाभ्यनन्दन्त तद वचः"
17,1,16,"नैवं कर्तव्यम इति ते तदॊचुस ते नराधिपम
न च राजा तथाकार्षीत कालपर्याय धर्मवित"
17,1,17,"ततॊ ऽनुमान्य धर्मात्मा पौरजानपदं जनम
गमनाय मतिं चक्रे भरातरश चास्य ते तदा"
17,1,18,"ततः स राजा कौरव्यॊ धर्मपुत्रॊ युधिष्ठिरः
उत्सृज्याभरणान्य अङ्गाज जगृहे वल्कलान्य उत"
17,1,19,"भीमार्जुनौ यमौ चैव दरौपदी च यशस्विनी
तथैव सर्वे जगृहुर वल्कलानि जनाधिप"
17,1,20,"विधिवत कारयित्वेष्टिं नैष्ठिकीं भरतर्षभ
समुत्सृज्याप्सु सर्वे ऽगनीन परतस्थुर नरपुंगवाः"
17,1,21,"ततः पररुरुदुः सर्वाः सत्रियॊ दृष्ट्वा नरर्षभान
परस्थितान दरौपदी षष्ठान पुरा दयूतजितान यथा"
17,1,22,"हर्षॊ ऽभवच च सर्वेषां भरातॄणां गमनं परति
युधिष्ठिर मतं जञात्वा वृष्णिक्षयम अवेष्क्य च"
17,1,23,"भरातरः पञ्च कृष्णा च षष्ठी शवा चैव सप्तमः
आत्मना सप्तमॊ राजा निर्ययौ गजसाह्वयात
पौरैर अनुगतॊ दूरं सर्वैर अन्तःपुरैस तथा"
17,1,24,"न चैनम अशकत कश्च चिन निवर्तस्वेति भाषितुम
नयवर्तन्त ततः सर्वे नरा नगरवासिनः"
17,1,25,"कृप परब्भृतयश चैव युयुत्सुं पर्यवारयन
विवेश गङ्गां कौरव्य उलूपी भुजगात्मजा"
17,1,26,"चित्राङ्गदा ययौ चापि मणिपूर पुरं परति
शिष्टाः परिक्षितं तव अन्या मातरः पर्यवारयन"
17,1,27,"पाण्डवाश च महात्मानॊ दरौपदी च यशस्विनी
कृपॊपवासाः कौरव्य परययुः पराङ्मुखास ततः"
17,1,28,"यॊगयुक्ता महात्मानस तयागधर्मम उपेयुषः
अभिजग्मुर बहून देशान सरितः सागरांस तथा"
17,1,29,"युधिष्ठिरॊ ययाव अग्रे भीमस तु तदनन्तरम
अर्जुनस तस्य चान्व एव यमौ चैव यथाक्रमम"
17,1,30,"पृष्ठतस तु वरारॊहा शयामा पद्मदलेक्षणा
दरौपदी यॊषितां शरेष्ठा ययौ भरतसत्तम"
17,1,31,"शवा चैवानुययाव एकः पाण्डवान परस्थितान वने
करमेण ते ययुर वीरा लौहित्यं सलिलार्णवम"
17,1,32,"गाण्डीवं च धनुर दिव्यं न मुमॊच धनंजयः
रत्नलॊभान महाराज तौ चाक्षय्यौ महेषुधी"
17,1,33,"अग्निं ते ददृशुस तत्र सथितं शैलम इवाग्रतः
मार्गम आवृत्य तिष्ठन्तं साक्षात पुरुषविग्रहम"
17,1,34,"ततॊ देवः स सप्तार्चिः पाण्डवान इदम अब्रवीत
भॊ भॊ पाण्डुसुता वीराः पावकं मा विबॊधत"
17,1,35,"युधिष्ठिर महाबाहॊ भीमसेन परंतप
अर्जुनाश्वसुतौ वीरौ निबॊधत वचॊ मम"
17,1,36,"अहम अग्निः कुरुश्रेष्ठा मया दग्धं च खाण्डवम
अर्जुनस्य परभावेन तथा नारायणस्य च"
17,1,37,"अयं वः फल्गुनॊ भराता गाण्डीवं परमायुधम
परित्यज्य वनं यातु नानेनार्थॊ ऽसति कश चन"
17,1,38,"चक्ररत्नं तु यत कृष्णे सथितम आसीन महात्मनि
गतं तच चा पुनर हस्ते कालेनैष्यति तस्य ह"
17,1,39,"वरुणाद आहृतं पूर्वं मयैतत पार्थ कारणात
गाण्डीवं कार्मुकश्रेष्ठं वरुणायैव दीयताम"
17,1,40,"ततस ते भरातरः सर्वे धनंजयम अचॊदयन
स जले पराक्षिपत तत तु तथाक्षय्यौ महेषुधी"
17,1,41,"ततॊ ऽगनिर भरतश्रेष्ठ तत्रैवान्तरधीयत
ययुश च पाण्डवा वीरास ततस ते दक्षिणामुखाः"
17,1,42,"ततस ते तूत्तरेणैव तीरेण लवणाम्भसः
जग्मुर भरतशार्दूल दिशं दक्षिणपश्चिमम"
17,1,43,"ततः पुनः समावृत्ताः पश्चिमां दिशम एव ते
ददृशुर दवारकां चापि सागरेण परिप्लुताम"
17,1,44,"उदीचीं पुनर आवृत्त्य ययुर भरतसत्तमाः
परादक्षिण्यं चिकीर्षन्तः पृथिव्या यॊगधर्मिणः"
17,2,1,"[वै]
ततस ते नियतात्मान उदीचीं दिशम आस्थिताः
ददृशुर यॊगयुक्ताश च हिमवन्तं महागिरिम"
17,2,2,"तं चाप्य अतिक्रमन्तस ते ददृशुर वालुकार्णवम
अवैक्षन्त महाशैलं मेरुं शिखरिणां वरम"
17,2,3,"तेषां तु गच्छतां शीघ्रं सर्वेषां यॊगधर्मिणाम
याज्ञसेनी भरष्टयॊगा निपपात महीतले"
17,2,4,"तां तु परपतितां दृष्ट्वा भीमसेनॊ महाबलः
उवाच धर्मराजानं याज्ञसेनीम अवेक्ष्य ह"
17,2,5,"नाधर्मश चरितः कश चिद राजपुत्र्या परंतप
कारणं किं नु तद राजन यत कृष्णा पतिता भुवि"
17,2,6,"[य]
पक्षपातॊ महान अस्या विशेषेण धनंजये
तस्यैतत फलम अद्यैषा भुङ्क्ते पुरुषसत्तम"
17,2,7,"[वै]
एवम उक्त्वानवेक्ष्यैनां ययौ धर्मसुतॊ नृपः
समाधाय मनॊ धीमन धर्मात्मा पुरुषर्षभः"
17,2,8,"सहदेवस ततॊ धीमान निपपात महीतले
तं चापि पतितं दृष्ट्वा भीमॊ राजानम अब्रवीत"
17,2,9,"यॊ ऽयम अस्मासु सर्वेषु शुश्रूषुर अनहंकृतः
सॊ ऽयं माद्रवती पुत्रः कस्मान निपतितॊ भुवि"
17,2,10,"[य]
आत्मनः सदृशं पराज्ञं नैषॊ ऽमन्यत कं चन
तेन दॊषेण पतितस तस्माद एष नृपात्मजः"
17,2,11,"[वै]
इत्य उक्त्वा तु समुत्सृज्य सहदेवं ययौ तदा
भरातृभिः सह कौन्तेयः शुना चैव युधिष्ठिरः"
17,2,12,"कृष्णां निपतितां दृष्ट्वा सहदेवं च पाण्डवम
आर्तॊ बन्धुप्रियः शूरॊ नकुलॊ निपपात ह"
17,2,13,"तस्मिन निपतिते वीरे नकुले चारुदर्शने
पुनर एव तदा भीमॊ राजानम इदम अब्रवीत"
17,2,14,"यॊ ऽयम अक्षत धर्मात्मा भराता वचनकारकः
रूपेणाप्रतिमॊ लॊके नकुलः पतितॊ भुवि"
17,2,15,"इत्य उक्तॊ भीमसेनेन परत्युवाच युधिष्ठिरः
नकुलं परति धर्मात्मा सर्वबुद्धिमतां वरः"
17,2,16,"रूपेण मत्समॊ नास्ति कश चिद इत्य अस्य दर्शनम
अधिकश चाहम एवैक इत्य अस्य मनसि सथितम"
17,2,17,"नकुलः पतितस तस्माद आगच्छ तवं वृकॊदर
यस्य यद विहितं वीर सॊ ऽवश्यं तद उपाश्नुते"
17,2,18,"तांस तु परपतितान दृष्ट्वा पाण्डवः शवेतवाहनः
पपात शॊकसंतप्तस ततॊ ऽनु परवीरहा"
17,2,19,"तस्मिंस तु पुरुषव्याघ्रे पतिते शक्र तेजसि
मरियमाणे दुराधर्षे भीमॊ राजानम अब्रवीत"
17,2,20,"अनृतं न समराम्य अस्य सवैरेष्व अपि महात्मनः
अथ कस्य विकारॊ ऽयं येनायं पतितॊ भुवि"
17,2,21,"[य]
एकाह्ना निर्दहेयं वै शत्रून इत्य अर्जुनॊ ऽबरवीत
न च तत कृतवान एष शूरमानी ततॊ ऽपतत"
17,2,22,"अवमेने धनुर गराहान एष सर्वांश च फल्गुनः
यथा चॊक्तं तथा चैव कर्तव्यं भूतिम इच्छता"
17,2,23,"[वै]
इत्य उक्त्वा परस्थितॊ राजा भीमॊ ऽथ निपपात ह
पतितश चाब्रवीद भीमॊ धर्मराजं युधिष्ठिरम"
