1,"[वै]
तस्मिन नगेन्द्रे वसतां तु तेषां; महात्मनां सद वरतम आस्थितानाम
रतिः परमॊदश च बभूव तेषाम; आकाङ्क्षतां दर्शनम अर्जुनस्य"
2,"तान वीर्ययुक्तान सुविशुद्धसत्त्वांस; तेजस्विनः सत्यघृति परधानान
संप्रीयमाणा बहवॊ ऽभिजग्मुर; गन्धर्वसंघाश च महर्षयश च"
3,"तं पादपैः पुष्पधरैर उपेतं; नगॊत्तमं पराप्य महारथानाम
मनःप्रसादः परमॊ बभूव; यथा दिवं पराप्य मरुद्गणानाम"
4,"मयूरहंसस्वननादितानि; पुष्पॊपकीर्णानि महाचलस्य
शृङ्गाणि सानूनि च पश्यमाना; गिरेः परं हर्षम अवाप्य तस्थुः"
5,"साक्षात कुबेरेण कृताश च तस्मिन; नगॊत्तमे संवृतकूलरॊधसः
कादम्ब कारण्डवहंसजुष्टाः; पद्माकुलाः पुष्करिणीर अपश्यन"
6,"करीदा परदेशांश च समृद्धरूपान; सुचित्र माल्यावृत जातशॊभान
मणिप्रवेकान सुमनॊहरांश च; यथा भवेयुर धनदस्य राज्ञः"
7,"अनेकवर्णैश च सुगन्धिभिश च; महाद्रुमैः संततम अभ्रमालिभिः
तपः परधानाः सततं चरन्तः; शृङ्गं गिरेश चिन्तयितुं न शेकुः"
8,"सवतेजसा तस्य गतॊत्तमस्य; महौषधीनां च तथा परभावात
विभक्तभावॊ न बभूव कश चिद; अहर निशानां पुरुषप्रवीर"
9,"यम आस्थितः सथावरजङ्गमानि; विभावसुर भावयते ऽमितौजः
तस्यॊदयं चास्तमयं च वीरास; तत्र सथितास ते ददृशुर नृसिंहाः"
10,"रवे तमिस्रागम निर्गमांस ते; तथॊदयं चास्तमयं च वीराः
समावृताः परेक्ष्य तमॊनुदस्य; गभस्तिजालैः परदिशॊ दिशश च"
11,"सवाध्यायवन्तः सततक्रियाश च; धर्मप्रधानाश च शुचिव्रताश च
सत्ये सथितास तस्य महारथस्य; सत्यव्रतस्यागमन परतीक्षाः"
12,"इहैव हर्षॊ ऽसतु समागतानां; कषिप्रं कृतास्त्रेण धनंजयेन
इति बरुवन्तः परमाशिषस ते; पार्थास तपॊयॊगपरा बभूवुः"
13,"दृष्ट्वा विचित्राणि गिरौ वनानि; किरीटिनं चिन्तयताम अभीक्ष्णम
बभूव रात्रिर दिवसश च तेषां; संवत्सरेणैव समानरूपः"
14,"यदैव दौम्यानुमते महात्मा; कृत्वा जटाः परव्रजितः स जिष्णुः
तदैव तेषां न बभूव हर्षः; कुतॊ रतिस तद्गतमानसानाम"
15,"भरातुर नियॊगात तु युधिष्ठिरस्य; वनाद असौ वारणमत्तगामी
यत काम्यकात परव्रजितः स जिष्णुस; तदैव ते शॊकहता बभूवुः"
16,"तथा तु तं चिन्तयतां सिताश्वम; अस्त्रार्थिनं वासवम अभ्युपेतम
मासॊ ऽथ कृच्छ्रेण तदा वयतीतस; तस्मिन नगे भारत भारतानाम"
17,"ततः कदाचिद धरि संप्रयुक्तं; महेन्द्र वाहं सहसॊपयातम
विद्युत्प्रभं परेक्ष्य महारथानां; हर्षॊ ऽरजुनं चिन्तयतां बभूव"
18,"स दीप्यमानः सहसान्तरिक्षं; परकाशयन मातलिसंगृहीतः
बभौ महॊल्केव घनान्तरस्था; शिखेव चाग्नेर जवलिता विधूमा"
19,"तम आस्थितः संददृशे किरीटी; सरग्वी वराण्य आभरणानि बिभ्रत
धनंजयॊ वर्ज धरप्रभावः; शरिया जवलन पर्वतम आजगाम"
20,"स शैलम आसाद्य किरीटमाली; महेन्द्र वाहाद अवरुह्य तस्मात
धौम्यस्य पादाव अभिवाद्य पूर्वम; अजातशत्रॊस तदनन्तरं च"
21,"कृकॊदरस्यापि ववन्द पादौ; माद्री सुताभ्याम अभिवादितश च
समेत्य कृष्णां परिसान्त्व्य चैनां; परह्वॊ ऽभवद भरातुर उपह्वरे सः"
22,"बभूव तेषां परमः परहर्षस; तेनाप्रमेयेण समागतानाम
स चापि तान परेक्ष्य किरीटमाली; ननन्द राजानम अभिप्रशंसन"
23,"यम आस्थितः सप्त जघान पूगान; दितेः सुतानां नमुचेर निहन्ता
तम इन्द्र वाहं समुपेत्य पार्थाः; परदक्षिणं चक्रुर अदीनसत्त्वाः"
24,"ते मालतेश चक्रुर अतीव हृष्टाः; सत्कारम अग्र्यं सुरराजतुल्यम
सर्वं यथावच च दिवौकसस तान; पप्रच्छुर एनं कुरुराजपुत्राः"
25,"तान अप्य असौ मातलिर अभ्यनन्दत; पितेव पुत्रान अनुशिष्य चैनान
ययौ रथेनाप्रतिम परभेण; पुनः सकाशं तरिदिवेश्वरस्य"
26,"गते तु तस्मिन वरदेव वाहे; शक्रात्मजः सर्वरिपुप्रमाथी
शक्रेण दत्तानि ददौ महात्मा; महाधनान्य उत्तमरूपवन्ति
दिवाकराभाणि विभूषणानि; परीतः परियायै सुत सॊममात्रे"
27,"ततः स तेषां कुरुपुंगवानां; तेषां च सूर्याग्निसमप्रभाणाम
विप्रर्षभाणाम उपविश्य मध्ये; सर्वं यथावत कथयां बभूव"
28,"एवं मयास्त्राण्य उपशिक्षितानि; शक्राच च वाताच च शिवाच च साक्षात
तथैव शीलेन समाधिना च; परीताः सुरा मे सहिताः सहेन्द्राः"
29,"संक्षेपतॊ वै स विशुद्धकर्मा; तेभ्यः समाख्याय दिवि परवेशम
माद्री सुताभ्यां सहितः किरीटी; सुष्वाप ताम आवसतिं परतीतः"
