1,"[धृ]
पराप्तान आहुः संजय पाण्डुपुत्रान; उपप्लव्ये तान विजानीहि गत्वा
अजातशत्रुं च सभाजयेथा; दिष्ट्यानघ गरामम उपस्थितस तवम"
2,"सर्वान वदेः संजय सवस्तिमन्तः; कृच्छ्रं वासम अतदर्हा निरुष्य
तेषां शान्तिर विद्यते ऽसमासु शीघ्रं; मिथ्यॊपेतानाम उपकारिणां सताम"
3,"नाहं कव चित संजय पाण्डवानां; मिथ्यावृत्तिं कां चन जात्व अपश्यम
सर्वां शरियं हय आत्मवीर्येण लब्ध्वा; पर्याकार्षुः पाण्डवा मह्यम एव"
4,"दॊषं हय एषां नाधिगच्छे परिक्षन; नित्यं कं चिद येन गर्हेय पार्थान
धर्मार्थाभ्यां कर्म कुर्वन्ति नित्यं; सुखप्रिया नानुरुध्यन्ति कामान"
5,"धर्मं शीतं कषुत्पिपासे तथैव; निद्रां तन्द्रीं करॊधहर्षौ परमादम
धृत्या चैव परज्ञया चाभिभूय; धर्मार्थयॊगान परयतन्ति पार्थाः"
6,"तयजन्ति मित्रेषु धनानि काले; न संवासाज जीर्यति मैत्रम एषाम
यथार्ह मानार्थ करा हि पार्थास; तेषां दवेष्टा नास्त्य आजमीढस्य पक्षे"
7,"अन्यत्र पापाद विषमान मन्दबुद्धेर; दुर्यॊधनात कषुद्रतराच च कर्णात
तेषां हीमे हीनसुखप्रियाणां; महात्मनां संजनयन्ति तेजः"
8,"उत्थानवीर्यः सुखम एधमानॊ; दुर्यॊधनः सुकृतं मन्यते तत
तेषां भागं यच च मन्येत बालः; शक्यं हर्तुं जीवतां पाण्डवानाम"
9,"यस्यार्जुनः पदवीं केशवश च; वृकॊदरः सात्यकॊ ऽजातशत्रॊः
माद्रीपुत्रौ सृञ्जयाश चापि सर्वे; पुरा युद्धात साधु तस्य परदानम"
10,"स हय एवैकः पृथिवीं सव्यसाची; गाण्डीवधन्वा परणुदेद रथस्थः
तथा विष्णुः केशवॊ ऽपय अप्रधृष्यॊ; लॊकत्रयस्याधिपतिर महात्मा"
11,"तिष्ठेत कस तस्य मर्त्यः पुरस्ताद; यः सर्वदेवेषु वरेण्य ईड्यः
पर्जन्यघॊषान परवपञ शरौघान; पतंगसंघान इव शीघ्रवेगान"
12,"दिशं हय उदीचीम अपि चॊत्तरान कुरून; गाण्डीवधन्वैक रथॊ जिगाय
धनं चैषाम आहरत सव्यसाची; सेनानुगान बलिदांश चैव चक्रे"
13,"यश चैव देवान खाण्डवे सव्यसाची; गाण्डीवधन्वा परजिगाय सेन्द्रान
उपाहरत फल्गुनॊ जातवेदसे; यशॊ मानं वर्धयन पाण्डवानाम"
14,"गदा भृतां नाद्य समॊ ऽसति; भीमाद धस्त्य आरॊहॊ नास्ति समश च तस्य
रथे ऽरजुनाद आहुर अहीनम एनं; बाह्वॊर बले चायुत नागवीर्यम"
15,"सुशिक्षितः कृतवैरस तरस्वी; दहेत करुद्धस तरसा धार्तराष्ट्रान
सदात्यमर्षी बलवान न शक्यॊ; युद्धे जेतुं वासवेनापि साक्षात"
16,"सुचेतसौ बलिनौ शीघ्रहस्तौ; सुशिक्षितौ भरातरौ फल्गुनेन
शयेनौ यथा पक्षिपूगान रुजन्तौ; माद्रीपुत्रौ नेह कुरून विशेताम"
17,"तेषां मध्ये वर्तमानस तरस्वी; धृष्टद्युम्नः पाण्डवानाम इहैकः
सहामात्यः सॊमकानां परबर्हः; संत्यक्तात्मा पाण्डवानां जयाय"
18,"सहॊषितश चरितार्थॊ वयः सथः; शाल्वेयानाम अधिपॊ वै विराटः
सह पुत्रैः पाण्डवार्थे च शश्वद; युधिष्ठिरं भक्त इति शरुतं मे"
