1,"[सम्जय]
यथार्हसे पाण्डव तत तथैव; कुरून कुरुश्रेष्ठ जनं च पृच्छसि
अनामयास तात मनस्विनस ते; कुरुश्रेष्ठान पृच्छसि पार्थ यांस तवम"
2,"सन्त्य एव वृद्धाः साधवॊ धार्तराष्ट्रे; सन्त्य एव पापाः पाण्डव तस्य विद्धि
दद्याद रिपॊश चापि हि धार्तराष्ट्रः; कुतॊ दायाँल लॊपयेद बराह्मणानाम"
3,"यद युष्माकं वर्तते ऽसौ न धर्म्यम; अद्रुग्धेषु दरुग्धवत तन न साधु
मित्र धरुक सयाद धृतराष्ट्रः सपुत्रॊ; युष्मान दविषन साधु वृतान असाधुः"
4,"न चानुजानाति भृशं च तप्यते; शॊचत्य अन्तः सथविरॊ ऽजातशत्रॊ
शृणॊति हि बराह्मणानां समेत्य; मित्रद्रॊहः पातकेभ्यॊ गरीयान"
5,"समरन्ति तुभ्यं नरदेवं संगमे; युद्धे च जिष्णॊश च युधां परणेतुः
समुत्कृष्टे दुन्दुभिशङ्खशब्दे; गदापाणिं भीमसेनं समरन्ति"
6,"माद्री सुतौ चापि रणाजिमध्ये; सर्वा दिशः संपतन्तौ समरन्ति
सेनां वर्षन्तौ शरवर्षैर अजस्रं; महारथौ समरे दुष्प्रकम्प्यौ"
7,"न तव एव मन्ये पुरुषस्य राजन्न; अनागतं जञायते यद भविष्यम
तवं चेद इमं सर्वधर्मॊपपन्नः; पराप्तः कलेशं पाण्डव कृच्छ्ररूपम"
8,"तवम एवैतत सर्वम अतश च भूयः; समीकुर्याः परज्ञयाजात शत्रॊ
न कामार्थं संत्यजेयुर हि धर्मं; पाण्डॊः सुताः सर्व एवेन्द्र कल्पाः"
9,"तवम एवैतत परज्ञयाजात शत्रॊ; शमं कुर्या येन शर्माप्नुयुस ते
धार्तराष्ट्राः पाण्डवाः सृञ्जयाश च; ये चाप्य अन्ये पार्थिवाः संनिविष्टाः"
10,"यन माब्रवीद धृतराष्ट्रॊ निशायाम; अजातशत्रॊ वचनं पिता ते
सहामात्यः सह पुत्रश च राजन; समेत्य तां वाचम इमां निबॊध"
