1,"[धृ]
सर्व एते महॊत्साहा ये तवया परिकीर्तिताः
एकतस तव एव ते सर्वे समेता भीम एकतः"
2,"भीमसेनाद धि मे भूयॊ भयं संजायते महत
करुद्धाद अमर्षणात तात वयाघ्राद इव महारुरॊः"
3,"जागर्मि रात्रयः सर्वा दीर्घम उष्णं च निःश्वसन
भीतॊ वृकॊदरात तात सिंहात पशुर इवाबलः"
4,"न हि तस्य महाबाहॊर अक्र परतिमतेजसः
सैन्ये ऽसमिन परतिपश्यामि य एनं विषहेद युधि"
5,"अमर्षणश च कौन्तेयॊ दृढवैरश च पाण्डवः
अनर्म हासी सॊन्मादस तिर्यक परेक्षी महास्वनः"
6,"महावेगॊ महॊत्साहॊ महाबाहुर महाबलः
मन्दानां मम पुत्राणां युद्धेनान्तं करिष्यति"
7,"ऊरुग्राहगृहीतानां गदां बिभ्रद वृकॊदरः
कुरूणाम ऋषभॊ युद्धे दण्डपाणिर इवान्तकः"
8,"सैक्यायसमयीं घॊरां गदां काञ्चनभूषिताम
मनसाहं परपश्यामि बरह्मदण्डम इवॊद्यतम"
9,"यथा रुरूणां यूथेषु सिंहॊ जातबलश चरेत
मामकेषु तथा भीमॊ बलेषु विचरिष्यति"
10,"सर्वेषां मम पुत्राणां स एकः करूर विक्रमः
बह्व आशीविप्रतीपश च बाल्ये ऽपि रभसः सदा"
11,"उद्वेपते मे हृदयं यदा दुर्यॊधनादयः
बाल्ये ऽपि तेन युध्यन्तॊ वारणेनेव मर्दिताः"
12,"तस्य वीर्येण संक्लिष्टा नित्यम एव सुता मम
स एव हेतुर भेदस्य भीमॊ भीमपराक्रमः"
13,"गरसमानम अनीकानि नरवारणवाजिनाम
पश्यामीवाग्रतॊ भीमं करॊधमूर्छितम आहवे"
14,"अस्त्रे दरॊणार्जुन समं वायुवेगसमं जवे
संजयाचक्ष्व मे शूरं भीमसेनम अमर्षणम"
15,"अतिलाभं तु मन्ये ऽहं यत तेन रिपुघातिना
तदैव न हताः सर्वे मम पुत्रा मनस्विना"
