1,"[व]
राज्ञस तु वचनं शरुत्वा धृतराष्ट्रस्य संजयः
उपप्लव्यं ययौ दरष्टुं पाण्डवान अमितौजसः"
2,"स तु राजानम आसाद्य धर्मात्मानं युधिष्ठिरम
परणिपत्य ततः पूर्वं सूतपुत्रॊ ऽभयभाषत"
3,"गावल्गणिः संजय सूत सूनुर; अजातशत्रुम अवदत परतीतः
दिष्ट्या राजंस तवाम अरॊगं परपश्ये; सहायवन्तं च महेन्द्रकल्पम"
4,"अनामयं पृच्छति तवाम्बिकेयॊ; वृद्धॊ राजा धृतराष्ट्रॊ मनीषी
कच चिद भीमः कुशली पाण्डवाग्र्यॊ; धनंजयस तौ च माद्री तनूजौ"
5,"कच चित कृष्णा दरौपदी राजपुत्री; सत्यव्रता वीर पत्नी सपुत्रा
मनस्विनी यत्र च वाञ्छसि तवम; इष्टान कामान भारत सवस्ति कामः"
6,"गावल्गणे संजय सवागतं ते; परीतात्माहं तवाभिवदामि सूत
अनामयं परतिजाने तवाहं; सहानुजैः कुशली चास्मि विद्वन"
7,"चिराद इदं कुशलं भरतस्य; शरुत्वा राज्ञः कुरुवृद्धस्य सूत
मन्ये साक्षाद दृष्टम अहं नरेन्द्रं; दृष्ट्वैव तवां संजय परीतियॊगात"
8,"पितामहॊ नः सथविरॊ मनस्वी; महाप्रज्ञः सर्वधर्मॊपपन्नः
स कौरव्यः कुशली तात भीष्मॊ; यथापूर्वं वृत्तिर अप्य अस्य कच चित"
9,"कच चिद राजा धृतराष्ट्रः सपुत्रॊ; वैचित्र वीर्यः कुशली महात्मा
महाराजॊ बाह्लिकः परातिपेयः; कच चिद विद्वान कुशली सूतपुत्र"
10,"स सॊमदत्तः कुशली तात कच चिद; भूरिश्रवाः सत्यसंधः शलश च
दरॊणः सपुत्रश च कृपश च विप्रॊ; महेष्वासाः कच चिद एते ऽपय अरॊगाः"
11,"महाप्राज्ञाः सर्वशास्त्रावदाता; धनुर भृतां मुख्यतमाः पृथिव्याम
कच चिन मानं तात लभन्त एते; धनुर भृतः कच चिद एते ऽपय अरॊगाः"
12,"सर्वे कुरुभ्यः सपृहयन्ति संजय; धनुर्धरा ये पृथिव्यां युवानः
येषां राष्ट्रे निवसति दर्शनीयॊ; महेष्वासः शीलवान दरॊणपुत्रः"
13,"वैश्यापुत्रः कुशली तात कच चिन; महाप्राज्ञॊ राजपुत्रॊ युयुत्सुः
कर्णॊ ऽमात्यः कुशली तात कच चित; सुयॊधनॊ यस्य मन्दॊ विधेयः"
14,"सत्रियॊ वृद्धा भारतानां जनन्यॊ; महानस्यॊ दासभार्याश च सूत
वध्वः पुत्रा भागिनेया भगिन्यॊ; दौहित्रा वा कच चिद अप्य अव्यलीकाः"
15,"कच चिद राजा बाह्मणानां यथावत; परवर्तते पूर्ववत तात वृत्तिम
कच चिद दायान मामकान धार्तराष्ट्रॊ; दविजातीनां संजय नॊपहन्ति"
16,"कच चिद राजा धृतराष्ट्रः सपुत्र; उपेक्षते बराह्मणातिक्रमान वै
कच चिन न हेतॊर इव वर्त्म भूत; उपेक्षते तेषु स नयून वृत्तिम"
17,"एतज जयॊतिर उत्तमं जीवलॊके; शुक्लं परजानां विहितं विधात्रा
ते चेल लॊभं न नियच्छन्ति मन्दाः; कृत्स्नॊ नाशॊ भविता कौरवाणाम"
18,"कच चिद राजा धृतराष्ट्रः सपुत्रॊ; बुभूषते वृत्तिम अमात्यवर्गे
कच चिन न भेदेन जिजीविषन्ति; सुहृद रूपा दुर्हृदश चैकमित्राः"
19,"कच चिन न पापं कथयन्ति तात; ते पाण्डवानां कुरवः सर्व एव
कच चिद दृष्ट्वा दस्यु संघान समेतान; समरन्ति पार्थस्य युधां परणेतुः"
20,"मौर्वी भुजाग्र परहितान सम तात; दॊधूयमानेन धनुर्धरेण
गाण्डीवमुक्तान सतनयित्नुघॊषान; अजिह्मगान कच चिद अनुस्मरन्ति"
21,"न हय अपश्यं कं चिद अहं पृथिव्यां; शरुतं समं वाधिकम अर्जुनेन
यस्यैक षष्टिर निशितास तीक्ष्णधाराः; सुवाससः संमतॊ हस्तवापः"
22,"गदापाणिर भीमसेनस तरस्वी; परवेपयञ शत्रुसंघान अनीके
नागः परभिन्न इव नड्वलासु; चङ्क्रम्यते कच चिद एनं समरन्ति"
23,"माद्रीपुत्रः सहदेवः कलिङ्गान; समागतान अजयद दन्तकूरे
वामेनास्यन दक्षिणेनैव यॊ वै; महाबलं कच चिद एनं समरन्ति"
24,"उद्यन्न अयं नकुलः परेषितॊ वै; गावल्गणे संजय पश्यतस ते
दिशं परतीचीं वशम आनयन मे; माद्री सुतं कच चिद एनं समरन्ति"
25,"अभ्याभवॊ दवैतवने य आसीद; दुर्मन्त्रिते घॊषयात्रा गतानाम
यत्र मन्दाञ शत्रुवशं परयातान; अमॊचयद भीमसेनॊ जयश च"
26,"अहं पश्चाद अर्जुनम अभ्यरक्षं; माद्रीपुत्रौ भीमसेनश च चक्रे
गाण्डीवभृच छत्रुसंघान उदस्य; सवस्त्य आगमत कच चिद एनं समरन्ति"
27,"न कर्मणा साधुनैकेन नूनं; कर्तुं शक्यं भवतीह संजय
सर्वात्मना परिजेतुं वयं चेन; न शक्नुमॊ धृतराष्ट्रस्य पुत्रम"
