1,"[स]
आमन्त्रये तवा नरदेव देव; गच्छाम्य अहं पाण्डव सवस्ति ते ऽसतु
कच चिन न वाचा वृजिनं हि किं चिद; उच्चारितं मे मनसॊ ऽभिषङ्गात"
2,"जनार्दनं भीमसेनार्जुनौ च; माद्री सुतौ सात्यकिं चेकितानम
आमन्त्र्य गच्छामि शिवं सुखं वः; सौम्येन मां पश्यत चक्षुषा नृपाः"
3,"अनुज्ञातः संजय सवस्ति गच्छ; न नॊ ऽकार्षीर अप्रियं जातु किं चित
विद्मश च तवा ते च वयं च सर्वे; शुद्धात्मानं मध्यगतं सभस्थम"
4,"आप्तॊ दूतः संजय सुप्रियॊ ऽसि; कल्याण वाक शीलवान दृष्टिमांश च
न मुह्येस तवं संजय जातु मत्या; न च करुध्येर उच्यमानॊ ऽपि तथ्यम"
5,"न मर्मगां जातु वक्तासि रूक्षां; नॊपस्तुतिं कटुकां नॊत शुक्ताम
धर्मारामाम अर्थवतीम अहिंस्राम; एतां वाचं तव जानामि सूत"
6,"तवम एव नः परियतमॊ ऽसि दूत; इहागच्छेद विदुरॊ वा दवितीयः
अभीक्ष्णदृष्टॊ ऽसि पुरा हि नस तवं; धनंजयस्यात्म समः सखासि"
7,"इतॊ गत्वा संजय कषिप्रम एव; उपातिष्ठेथा बराह्मणान ये तद अर्हाः
विशुद्धवीर्यांश चरणॊपपन्नान; कुले जातान सर्वधर्मॊपपन्नान"
8,"सवाध्यायिनॊ बराह्मणा भिक्षवश च; तपस्विनॊ ये च नित्या वनेषु
अभिवाद्या वै मद्वचनेन वृद्धास; तथेतरेषां कुशलं वदेथाः"
9,"पुरॊहितं धृतराष्ट्रस्य राज्ञ; आचार्याश च ऋत्विजॊ ये च तस्य
तैश च तवं तात सहितैर यथार्हं; संगच्छेथाः कुशलेनैव सूत"
10,"आचार्य इष्टॊ ऽनपगॊ विधेयॊ; वेदान ईप्सन बरह्मचर्यं चचार
यॊ ऽसत्रं चतुष्पात पुनर एव चक्रे; दरॊणः परसन्नॊ ऽभिवाद्यॊ यथार्हम"
11,"अधीत विद्यश चरणॊपपन्नॊ; यॊ ऽसत्रं चतुष्पात पुनर एव चक्रे
गन्धर्वपुत्र परतिमं तरस्विनं; तम अश्वत्थामानं कुशलं सम पृच्छेः"
12,"शारद्वतस्यावसथं सम गत्वा; महारथस्यास्त्रविदां वरस्य
तवं माम अभीक्ष्णं परिकीर्तयन वै; कृपस्य पादौ संजय पाणिना सपृशेः"
13,"यस्मिञ शौर्यम आनृशंस्यं तपश च; परज्ञा शीलं शरुतिसत्त्वे धृतिश च
पादौ गृहीत्वा कुरुसत्तमस्य; भीष्मस्य मां तत्र निवेदयेथाः"
14,"परज्ञा चक्षुर यः परणेता कुरूणां; बहुश्रुतॊ वृद्धसेवी मनीषी
तस्मै राज्ञे सथविरायाभिवाद्य; आचक्षीथाः संजय माम अरॊगम"
15,"जयेष्ठः पुत्रॊल्धृतराष्ट्रस्य मन्दॊ; मूर्खः शठः संजय पापशीलः
